SetupTitle	 Resistor		
PrimitiveTest	 I/V Sweep		
TestParameter	 Context.MainFrame	 4155B	
TestParameter	 Channel.UnitType	 SMU	 SMU
TestParameter	 Channel.Unit	 SMU1:MP	 SMU2:MP
TestParameter	 Channel.IName	 i1	 i2
TestParameter	 Channel.VName	 v1	 v2
TestParameter	 Channel.Mode	 V	 COMMON
TestParameter	 Channel.Func	 VAR1	 CONST
TestParameter	 Channel.Index	 	
TestParameter	 Channel.Time	 	
TestParameter	 Measurement.Port.Unit	 SMU1:MP	 SMU2:MP
TestParameter	 Measurement.Port.SeriesResistor	 NONE	 NONE
TestParameter	 Measurement.Port.Filter	 ON	 ON
TestParameter	 Measurement.Primary.Locus	 Single	
TestParameter	 Measurement.Primary.Scale	 LINEAR	
TestParameter	 Measurement.Primary.Start	-0.05	
TestParameter	 Measurement.Primary.Stop	0.05	
TestParameter	 Measurement.Primary.Step	0.005	
TestParameter	 Measurement.Primary.Compliance	0.1	
TestParameter	 Measurement.Primary.PowerCompliance	0	
TestParameter	 Measurement.Aborting.Condition	 CONTINUE AT ANY	
TestParameter	 Measurement.PostOutput.Value	 START	
TestParameter	 Measurement.PostOutput.Retention	 OFF	
TestParameter	 Measurement.Bias.Source	-0.05	0
TestParameter	 Measurement.Bias.Compliance	0.1	0.1
TestParameter	 Measurement.Monitor.Unit	 SMU1:MP	 SMU2:MP
TestParameter	 Measurement.Monitor.Adc	 HR ADC	 HR ADC
TestParameter	 Measurement.Monitor.RangingMode	 LIMITED	 LIMITED
TestParameter	 Measurement.Monitor.RangeBoundary	 1nA	 1nA
TestParameter	 Measurement.Monitor.RangeRating	 BY FULL RANGE	 BY FULL RANGE
TestParameter	 Measurement.Monitor.RangeRatingCoeff	50	50
TestParameter	 Measurement.Timing.Hold	0	
TestParameter	 Measurement.Timing.Delay	0	
TestParameter	 Measurement.Adc.HighResolution.AutoZero	 OFF	
TestParameter	 Measurement.Adc.HighResolution.Mode	 AUTO	
TestParameter	 Measurement.Adc.HighResolution.Coeff	1	
TestParameter	 Measurement.Ag16440ASelector.SemiconductorRelay.Channel1	 DEFAULT	
TestParameter	 Measurement.Ag16440ASelector.SemiconductorRelay.Channel3	 DEFAULT	
TestParameter	 Output.Graph.Enabled	 true	
TestParameter	 Output.Graph.XAxis.Data	 v1	
TestParameter	 Output.Graph.XAxis.Scale	 Linear	
TestParameter	 Output.Graph.XAxis.Left	-0.005	
TestParameter	 Output.Graph.XAxis.Right	0.005	
TestParameter	 Output.Graph.YAxis.Data	 i2	
TestParameter	 Output.Graph.YAxis.Scale	 Linear	
TestParameter	 Output.Graph.YAxis.Bottom	-0.1	
TestParameter	 Output.Graph.YAxis.Top	0.1	
TestParameter	 Output.Graph.YAxis.Group	 	
TestParameter	 Output.List.Data	 v1	 i1
TestParameter	 AutoAnalysis.Interpolation	 false	
TestParameter	 AutoAnalysis.Line1.Enabled	 false	
TestParameter	 AutoAnalysis.Line1.Type	1	
TestParameter	 AutoAnalysis.Line1.Fix	 True	
TestParameter	 AutoAnalysis.Line1.YAxis	0	
TestParameter	 AutoAnalysis.Line1.Point1.Type	0	
TestParameter	 AutoAnalysis.Line1.Point1.XY.X	 	
TestParameter	 AutoAnalysis.Line1.Point1.XY.Y	 	
TestParameter	 AutoAnalysis.Line1.Point1.Data.Var	 	
TestParameter	 AutoAnalysis.Line1.Point1.Data.Condition	 	
TestParameter	 AutoAnalysis.Line1.Point1.Data.Start	 false	
TestParameter	 AutoAnalysis.Line1.Point1.Data.StartVar	 	
TestParameter	 AutoAnalysis.Line1.Point1.Data.StartCondition	 	
TestParameter	 AutoAnalysis.Line1.Point2.Type	0	
TestParameter	 AutoAnalysis.Line1.Point2.XY.X	 	
TestParameter	 AutoAnalysis.Line1.Point2.XY.Y	 	
TestParameter	 AutoAnalysis.Line1.Point2.Data.Var	 	
TestParameter	 AutoAnalysis.Line1.Point2.Data.Condition	 	
TestParameter	 AutoAnalysis.Line1.Point2.Data.Start	 false	
TestParameter	 AutoAnalysis.Line1.Point2.Data.StartVar	 	
TestParameter	 AutoAnalysis.Line1.Point2.Data.StartCondition	 	
TestParameter	 AutoAnalysis.Line1.GradientExpr	0	
TestParameter	 AutoAnalysis.Line2.Enabled	 false	
TestParameter	 AutoAnalysis.Line2.Type	1	
TestParameter	 AutoAnalysis.Line2.Fix	 True	
TestParameter	 AutoAnalysis.Line2.YAxis	0	
TestParameter	 AutoAnalysis.Line2.Point1.Type	0	
TestParameter	 AutoAnalysis.Line2.Point1.XY.X	 	
TestParameter	 AutoAnalysis.Line2.Point1.XY.Y	 	
TestParameter	 AutoAnalysis.Line2.Point1.Data.Var	 	
TestParameter	 AutoAnalysis.Line2.Point1.Data.Condition	 	
TestParameter	 AutoAnalysis.Line2.Point1.Data.Start	 false	
TestParameter	 AutoAnalysis.Line2.Point1.Data.StartVar	 	
TestParameter	 AutoAnalysis.Line2.Point1.Data.StartCondition	 	
TestParameter	 AutoAnalysis.Line2.Point2.Type	0	
TestParameter	 AutoAnalysis.Line2.Point2.XY.X	 	
TestParameter	 AutoAnalysis.Line2.Point2.XY.Y	 	
TestParameter	 AutoAnalysis.Line2.Point2.Data.Var	 	
TestParameter	 AutoAnalysis.Line2.Point2.Data.Condition	 	
TestParameter	 AutoAnalysis.Line2.Point2.Data.Start	 false	
TestParameter	 AutoAnalysis.Line2.Point2.Data.StartVar	 	
TestParameter	 AutoAnalysis.Line2.Point2.Data.StartCondition	 	
TestParameter	 AutoAnalysis.Line2.GradientExpr	0	
TestParameter	 AutoAnalysis.Marker.Enabled	 false	
TestParameter	 AutoAnalysis.Marker.Data.Var	 	
TestParameter	 AutoAnalysis.Marker.Data.Condition	 	
TestParameter	 AutoAnalysis.Marker.Data.Start	 false	
TestParameter	 AutoAnalysis.Marker.Data.StartVar	 	
TestParameter	 AutoAnalysis.Marker.Data.StartCondition	 	
MetaData	 TestRecord.EntryPoint	 true	
MetaData	 TestRecord.RecordTime	 11/01/2017 15:48:15	
MetaData	 TestRecord.TestTarget	 	
MetaData	 TestRecord.IterationIndex	18	
MetaData	 TestRecord.Preservation	 true	
MetaData	 TestRecord.Flag	 	
MetaData	 TestRecord.Remarks	 	
MetaData	 TestRecord.LinkKey	 56d73652-1be1-4f65-9055-7ea4e5d8a659	
AnalysisSetup	 Analysis.Setup.Vector.Graph.Enabled	 true	
AnalysisSetup	 Analysis.Setup.Vector.Graph.ActiveYAxis	0	
AnalysisSetup	 Analysis.Setup.Vector.Graph.LeftYAxis	0	
AnalysisSetup	 Analysis.Setup.Vector.Graph.RightYAxis	-1	
AnalysisSetup	 Analysis.Setup.Vector.Graph.XAxis.Name	 v1	
